ISIN,Price,Callable,Rating,Z_Spread
XS2456247787,92.651,Y,A-,-79.40691466156258
XS2452433910,97.314,Y,A-,-79.42713063964703
XS1401197253,83.07794,N,NR,-79.56774805809118
FR0013330099,97.39963,Y,NR,-79.7479844719003
XS2020583618,77.862,Y,BBB-,-79.8689171284878
XS2247549731,93.374,Y,BBB-,-79.8782371920098
FR0013505567,94.2666,Y,A,-79.98004696154156
XS2025480596,95.52315,Y,BBB-,-80.13729658858993
FR0013238045,98.785,Y,A-,-80.30424887046735
FR0013382348,94.612,Y,A-,-80.60902509628669
XS1191877452,98.516,N,BBB+,-81.53931171139537
FR0013346137,97.191,Y,A-,-81.6328562749848
XS1874128033,97.90676,N,AA-,-81.6433502270127
DK0030486592,74.11823,Y,NR,-81.98215817679224
XS1717441726,89.8633,Y,A,-81.99043883444108
XS2265521620,96.391,Y,BBB-,-82.00529738583515
XS1575992596,98.70051,Y,NR,-82.04692719646978
XS1412266816,96.68462,Y,AAA,-82.08199927036445
XS2463961677,85.484,Y,A,-82.20142589058665
XS1681520356,95.303,Y,A,-82.20268120850797
XS2010331440,95.332,N,BBB+,-82.34132830146132
XS2441247041,94.37165,Y,NR,-82.37172341227684
XS2050968333,98.18587,Y,BBB,-82.41733803997876
XS2081500907,98.97,Y,NR,-82.67534928070111
XS2089229806,86.055,Y,BBB+,-82.68361731565308
XS2051362312,77.76084,Y,BBB,-82.70890448345644
XS1717355561,97.719,N,BBB+,-82.85328127307865
XS1457608286,96.80774,Y,A-,-82.93205528161052
DE000DL19VS4,94.62,Y,BBB+,-83.0541505324535
FR0013324357,94.445,Y,AA-,-83.07726897258138
XS2126170161,90.95,Y,NR,-83.34653783290472
BE6334365713,98.768,N,AA-,-83.43153244922607
XS1718417717,80.85939,Y,A-,-83.52530899621297
FR0013241676,98.21645,Y,BBB+,-83.57211845914999
XS1811198701,97.465,Y,BBB+,-83.66774572695174
FR0013359254,93.70492,Y,NR,-84.18290593202532
XS1223837250,98.62402,Y,BBB,-84.23175229803354
XS2194283839,95.771,Y,NR,-84.32128024059529
FR0013521267,90.716,Y,BBB,-84.61166741646171
XS1785795763,97.633,Y,A,-84.68760057226628
XS2020671157,62.805,Y,A-,-84.70648888761221
XS1900752814,96.486,N,AA-,-84.72894011271616
XS1397134609,97.18938,N,A,-84.9606909356362
XS1948611840,96.026,N,A,-84.98368613393845
XS1577950667,98.17841,Y,BBB+,-85.03360481804096
XS1167667283,94.43419,N,BBB+,-85.070271928854
BE0002596741,97.034,Y,NR,-85.21572179024132
XS2247936342,93.227,N,BBB,-85.42908980648276
FR0013453974,97.866,Y,NR,-85.5412005864261
XS2462321303,92.88,Y,AA-,-85.55486374332602
XS2177443343,98.431,Y,BBB+,-85.58975152690077
XS1856834608,96.9118,N,A+,-85.60699941680693
XS1877654126,93.78543,Y,AA-,-85.61662455767741
XS1396285279,97.53468,Y,NR,-85.72249982087622
XS2459163619,97.637,Y,NR,-85.83364019289651
XS1945110606,98.651,N,A-,-85.96413375626436
FR0013444692,62.79229,Y,BBB+,-86.55315970816054
FR0013332996,93.31017,Y,BBB,-86.57186596350503
XS2434701616,97.856,Y,BBB-,-86.68892741150691
FR0014008PK4,97.423,Y,BBB+,-86.75775076185151
XS1769090991,98.624,N,A+,-87.06359672901985
XS2337326727,92.421,Y,BBB-,-87.23856785462408
XS1707075328,95.24911,Y,AA-,-87.27300516802343
XS1730885073,97.60716,N,A-,-87.37367235808401
XS1629387462,98.54092,Y,BBB,-87.60966034484792
XS1709374497,98.14379,Y,BBB,-87.63093518184482
XS1193213953,85.71703,N,BBB+,-87.6392990752584
XS1619568998,81.75254,N,NR,-88.1360575223285
XS1637333748,98.52407,Y,BBB,-88.16171048415612
FR0013262698,98.52975,Y,NR,-88.17442567896028
XS2462321485,85.959,Y,AA-,-88.22755217301243
XS1995795504,92.81154,Y,BBB+,-88.23126594566686
XS1756296965,98.944,Y,BBB-,-88.34152857208757
FR0013260551,91.735,Y,A-,-88.51026695898821
XS2443485565,98.635,N,A,-88.63757990246283
FR0013506300,91.33266,Y,BBB+,-88.74668834890011
XS2198582301,76.91675,Y,BBB+,-88.81221255564526
XS1907122656,98.139,Y,BBB+,-88.81395652488634
FR0013281755,98.294,Y,NR,-88.969190991201
XS2452434645,93.17796,Y,A-,-89.31118960530175
XS2449929517,87.446,Y,NR,-89.34894631277058
XS1872032799,96.866,N,AA-,-89.55564395500397
FR0013246733,99.098,Y,BBB,-89.56706833837788
XS1691349952,98.265,Y,NR,-89.56898874149483
XS1197833137,86.15892,Y,A+,-89.62752813343594
FR0013298676,98.10149,Y,BBB-,-89.71105626612697
XS2176558620,94.477,Y,BBB,-89.836839196209
XS2180007549,97.52995,Y,BBB,-90.26929606315394
XS1319820541,99.0,Y,BBB,-90.6946613851835
XS1843442622,96.393,Y,BBB+,-90.77807059707402
XS1708193815,95.007,N,AA-,-90.79019622076487
DE000A3MQXZ2,91.459,Y,NR,-90.8280303327474
XS1793224632,98.67132,Y,A-,-91.3268792228807
FR0013300605,90.327,Y,A-,-91.53863104272186
DK0030506886,98.266,N,A+,-91.61349852131389
FR0013425154,92.871,Y,BBB+,-91.75167356435587
XS1641623381,90.654,N,BBB+,-91.78122749348329
XS2008925344,78.251,N,A+,-91.86142306325384
XS1753808929,97.991,Y,NR,-92.07880921253943
XS1761785077,95.861,Y,BBB+,-92.26910495532589
XS1621087516,98.36,N,A,-92.30565808629186
DE000A169NC2,97.315,N,A,-92.38941144832441
XS2444263102,93.009,Y,A-,-92.43032236967052
XS1960678412,93.33739,Y,A-,-92.51360247791698
XS1652866002,98.243,N,BBB+,-92.61159987219183
XS1619312686,96.173,Y,AA+,-92.703414607377
XS2434763483,95.137,Y,BBB,-93.15656298234184
XS2300293003,90.14526,Y,BBB-,-93.16875080753167
XS1463101680,92.36,N,BBB,-93.67848323693839
XS1197270819,98.8791,Y,BBB,-93.69111896876883
XS2002018500,93.49,N,BBB,-94.13668043406466
XS2062490649,97.192,Y,BBB-,-94.36665956945431
FR0013410818,96.137,N,BBB,-94.38916527120014
XS1584122763,98.832,Y,BBB+,-94.52397168888871
XS1605365193,98.516,N,A+,-94.53897124868118
XS1685542497,96.435,N,BBB,-94.81161635484615
XS2385393587,90.956,Y,BBB-,-94.82156965911791
DE000A2SBDF7,77.735,N,BBB,-94.83117270629945
XS1876069185,97.285,Y,A,-94.85814313699679
XS2463518998,93.367,Y,BBB+,-95.15442277759031
XS2152329053,98.347,Y,BBB-,-95.31397019106147
XS1958307461,96.251,N,A-,-95.48029279620674
XS1627947440,98.671,Y,BBB-,-95.55478688249627
XS1226748512,86.38754,Y,A,-95.61281179479369
DE000A2G8VU3,94.98528,Y,A+,-95.74557125334508
FR0013397452,96.872,Y,A-,-95.81814148077812
XS2051149552,64.21303,Y,A-,-95.90311928475309
XS2058557344,64.18974,Y,A-,-95.96978380633995
XS1873209172,93.91119,N,A+,-96.16839118925418
FR0013505112,94.93542,Y,AA-,-96.36604637235519
XS1769041192,94.38152,Y,AA-,-96.49624443378357
XS2010331101,78.76553,N,A,-96.5680414603698
FR0013182847,97.6016,Y,A,-96.82482389108458
XS2169281487,94.816,Y,BBB+,-96.89947582209459
XS1722801708,97.39973,N,A-,-97.09193528558981
FR0013425162,95.84,N,BBB+,-97.22802110326431
XS1753814737,98.095,Y,BBB,-97.26269071855424
FR001400AFL5,98.728,Y,NR,-97.2842788484477
XS1405762805,99.149,Y,A-,-97.32470033642095
